dta;periodo;pib_total;ipca;desemp;pib_vol;pib/pibant
2012-01-01;2012.1;1129474,072;1,22;7,9;98,31574095;1,707187994
2012-04-01;2012.2;1183125,584;1,08;7,5;101,1956386;0,98646496
2012-07-01;2012.3;1230448,838;1,41;7,1;104,6023086;2,485422355
2012-10-01;2012.4;1271711,505;1,98;6,9;103,5710158;2,482810774
2013-01-01;2013.1;1241614,015;1,93;8;99,08743828;2,721172999
2013-04-01;2013.2;1322580,226;1,18;7,4;103,2814116;4,021903252
2013-07-01;2013.3;1354133,996;0,62;6,9;105,4621186;2,758947661
2013-10-01;2013.4;1413290,764;2,03;6,2;104,1883221;2,528648931
2014-01-01;2014.1;1385979,514;2,16;7,2;99,53400954;3,469048959
2014-04-01;2014.2;1422320,388;1,53;6,8;99,83180308;-0,435547794
2014-07-01;2014.3;1462125,657;0,83;6,8;101,7315879;-0,638785708
2014-10-01;2014.4;1508527,442;1,71;6,5;100,9184224;-0,227933443
2015-01-01;2015.1;1456670,752;3,78;8,3;97,43238474;-1,61814913
2015-04-01;2015.2;1479980,919;2,24;7,9;96,61023933;-2,739298315
2015-07-01;2015.3;1508226,805;1,38;8,9;96,9064694;-4,26293629
2015-10-01;2015.4;1550908,524;2,79;8,9;94,86785296;-5,521764375
2016-01-01;2016.1;1500225,717;2,6;10,9;95,81989253;-5,142067386
2016-04-01;2016.2;1558991,507;1,74;11,3;96,93467064;-3,22185597
2016-07-01;2016.3;1577186,717;1,04;11,8;98,00340863;-2,453943238
2016-10-01;2016.4;1632924,059;0,74;12;96,13836057;-2,254010303
2017-01-01;2017.1;1585969,415;0,96;13,7;99,35742169;0,294993639
2017-04-01;2017.2;1630936,336;0,22;13;101,0180528;0,798594225
2017-07-01;2017.3;1648571,138;0,59;12,4;102,9841479;1,63980432
2017-10-01;2017.4;1720002,111;1,14;13,1;101,9318539;2,552873211
2018-01-01;2018.1;1680867,427;0,7;11,8;99,87236125;1,847994925
2018-04-01;2018.2;1733452,701;1,88;12,4;101,2624207;1,567974346
2018-07-01;2018.3;1768336,975;0,72;11,9;103,7335198;2,060152563
2018-10-01;2018.4;1821483,897;0,39;11,6;102,2663653;1,655381962
2019-01-01;2019.1;1765633,45;1,5;12,7;99,28577659;1,185856356
2019-04-01;2019.2;1834366,251;0,71;12;100,9623624;1,482063895
2019-07-01;2019.3;1884002,836;0,26;11,8;103,2721517;1,330970861
2019-10-01;2019.4;1923021,035;1,76;11;102,1243213;1,642293202
2020-01-01;2020.1;1843863,004;0,53;12,2;97,63732786;-0,272583519
2020-04-01;2020.2;1708759,707;-0,43;13,3;88,70602692;-10,89966346
2020-07-01;2020.3;1891735,266;1,24;14,6;97,86616294;-3,897418036
2020-10-01;2020.4;2003500,274;3,1;13,9;99,55428919;-1,140931703
2021-01-01;2021.1;2048022,657;2,04;14,7;102,741554925953;0,956496632
